ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
654993806,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Anthony Marella,2026-03-10,2026,3,10,626,Colombia,CO-RIS,Risaralda,NA,Reserva WILD Campo Alegre,4.8559483,-75.4842793,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S309881930,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2160,3840,male,1
654831001,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Magdalena Sánchez,2026-04-01,2026,4,1,855,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S315817109,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1600,1280,male,1
654629542,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Julie Edgley,2026-02-19,2026,2,19,726,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S302315305,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,4,NA,1201,1800,male,1
654366461,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Andy Taylor,2026-03-01,2026,3,1,618,Colombia,CO-CAL,Caldas,NA,"El Paraíso, Manizales CO-Caldas 5.02267, -75.36152",5.022668,-75.361523,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S305464056,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,1,NA,1536,2048,male,1
654360493,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Paco Chiclana,2026-02-01,2026,2,1,739,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S297585199,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,726,850,female,1
654182989,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jorge Tiravanti,2026-04-03,2026,4,3,850,Peru,PE-PAS,Pasco,NA,Camino a Abra Esperanza,-10.5320353,-75.3494786,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S316546380,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2741,4474,male,1
654130050,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Anthony Marella,2026-03-15,2026,3,15,735,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S309882593,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3460,3840,male,1
653872744,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Sherri & Camera Guy,2026-02-15,2026,2,15,1004,Ecuador,EC-N,Napo,NA,Guango Lodge,-0.3781268,-78.0742863,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S301169025,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,2666,2923,male,1
653761251,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Martin Hosier,2026-03-01,2026,3,1,630,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S314407050,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3003,4504,male,1
653382568,Photo,barred fruiteater,Pipreola arcuata,NA,NA,John Carley,2026-02-10,2026,2,10,813,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S299419327,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3456,4608,male,1
