url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
620905311,Peter Lewis,Colombia,Cesar,Chamicero del Perijá Proaves Reserve,2024-06-17,10.3627,-72.9492,Barred Fruiteater,Pipreola arcuata,brown,male,adult
532413561,Daniel Horton,Ecuador,Pichincha,Reserva Zuro Loma,2023-01-12,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
434588301,Lukas Musher,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-04-06,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
390678911,John Bruin,Colombia,Cesar,Chamicero del Perijá Proaves Reserve,2021-11-11,10.3627,-72.9492,Barred Fruiteater,Pipreola arcuata,brown,female,adult
217325601,Jorge Bedoya,Ecuador,Pichincha,Road from San Jorge Ecolodge to Yanacocha Reserve,2020-03-12,-0.1085,-78.5619,Barred Fruiteater,Pipreola arcuata,brown,female,adult
209796061,Alan Wells,Colombia,Quindío,"Unpaved road near Alto La Linea  on Rte 40 (4.4752,-75.5608)",2020-01-19,4.4752,-75.5608,Barred Fruiteater,Pipreola arcuata,brown,male,adult
177589831,Giselle Mangini,Peru,Junín,"(-11,4873,-74,8756) selva 1",2019-08-11,-11.4873,-74.8756,Barred Fruiteater,Pipreola arcuata,brown,female,adult
149481581,Charlotte Byers,Ecuador,Loja,PN Podocarpus--Sector Cajanuma,2019-03-19,-4.1167,-79.1738,Barred Fruiteater,Pipreola arcuata,brown,male,adult
116124851,Michael Clay,Colombia,Risaralda,"4.8574,-75.5083",2018-07-09,4.8650,-75.4750,Barred Fruiteater,Pipreola arcuata,brown,male,adult
110680451,Luisa Arndt,Ecuador,Napo,Cordillera Guacamayos--Mirador y alrededores inmediatos,2018-08-12,-0.6232,-77.8397,Barred Fruiteater,Pipreola arcuata,brown,male,adult
98503051,Cesar Alvarez                        @birder_cesar,Ecuador,Tungurahua,Copete Alto,2018-05-05,-1.4371,-78.4240,Barred Fruiteater,Pipreola arcuata,brown,female,adult
90189911,Julio C. Tello - Ikam Expeditions,Peru,San Martín,Sector La Grama,2009-06-03,-6.7292,-77.6765,Barred Fruiteater,Pipreola arcuata,brown,male,adult
90154121,Julio C. Tello - Ikam Expeditions,Peru,San Martín,Campamento Laurel,2009-06-05,-6.6868,-77.6966,Barred Fruiteater,Pipreola arcuata,brown,male,adult
84214691,Rob Felix,Colombia,Cundinamarca,PNN Chingaza--Mundo Nuevo,2017-12-02,4.6334,-73.8302,Barred Fruiteater,Pipreola arcuata,brown,male,adult
65556991,Edwin Campbell - www.whitehawkbirding.com,Colombia,Caldas,Hacienda El Bosque,2017-06-16,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
54808201,Loch Kilpatrick,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2017-04-01,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
38215821,Fabrice Schmitt,Peru,San Martín,El Jardin,2016-10-03,-6.9572,-77.6850,Barred Fruiteater,Pipreola arcuata,brown,female,adult
25937251,Kevin Groeneweg,Colombia,Cundinamarca,"4.7111x-73.8601 - Feb 29, 2016, 7:18 AM",2016-02-29,4.7111,-73.8601,Barred Fruiteater,Pipreola arcuata,brown,male,adult
80505951,Libby Megna,Ecuador,Pichincha,Reserva Yanacocha,2018-01-01,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
614445724,Vinicio Escudero,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-09-28,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,female,adult
389043681,Larry Therrien,Ecuador,Zamora-Chinchipe,Reserva Tapachlaca,2021-11-12,-4.4912,-79.1355,Barred Fruiteater,Pipreola arcuata,brown,male,adult
361896931,Jeremiah Trimble,Peru,Huánuco,Carpish Tunnel (Valqui D5.1),2013-07-02,-9.7198,-76.0990,Barred Fruiteater,Pipreola arcuata,brown,male,adult
266002901,Juan Sánchez,Colombia,Risaralda,PNN Los Nevado--Peñas Blancas,2020-09-22,4.7332,-75.4632,Barred Fruiteater,Pipreola arcuata,brown,male,adult
182342661,Peter Kennedy,Colombia,Caldas,Hacienda El Bosque,2019-08-30,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
119963801,Diana López G,Colombia,Caldas,Hacienda El Bosque,2018-10-20,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
617063086,Peter Blancher,Peru,Amazonas,Abra Barro Negro--Las Palmas,2024-03-25,-6.7121,-77.8526,Barred Fruiteater,Pipreola arcuata,brown,female,adult
103501491,Alexis Lamek,Ecuador,Napo,Guango Lodge,2018-05-27,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,male,adult
86159371,David Weaver,Ecuador,Napo,Guango Lodge,2018-02-12,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,female,adult
630496518,Roger Lambert,Colombia,Caldas,Hacienda El Bosque,2025-01-29,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
629056459,Mark Price,Colombia,Caldas,Hacienda El Bosque,2025-01-08,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
628504091,Andre Moncrieff,Colombia,Caldas,Hacienda El Bosque,2024-12-20,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
625522427,Jamie Adams,Colombia,Caldas,Hacienda El Bosque,2024-08-19,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
623065665,Jus Pérez Martín,Colombia,Caldas,Hacienda El Bosque,2024-08-08,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
