ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
652415553,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jeff Harding,2026-03-05,2026,3,5,748,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S306253256,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,854,1139,male,2
651710880,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jeff Harding,2026-02-25,2026,2,25,931,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station--Tangara Trail,-13.188756,-71.586491,Adult Female – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S303822236,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,648,864,female,2
649956705,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Claudi Racionero,2025-10-06,2025,10,6,811,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S277676893,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,844,1500,female,2
649594611,Photo,barred fruiteater,Pipreola arcuata,NA,NA,shobak kythakyapuzha,2025-12-24,2025,12,24,658,Bolivia,BO-L,La Paz,NA,Old Coroico Rd.,-16.2890003,-67.802639,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S292464211,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,2,1,NA,3456,4608,male,2
649140257,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Nick Leiby,2025-07-13,2025,7,13,923,Peru,PE-CUS,Cuzco [Cusco],NA,"Carretera a Manu, Cuzco, PE (-13.177, -71.609)",-13.1768621,-71.6093814,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S259568527,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,1,1,NA,2761,3682,male,2
648422426,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Hugo Foxonet,2025-11-07,2025,11,7,1327,Peru,PE-CUS,Cuzco [Cusco],NA,"Cusco 113, Cuzco, PE (-13,166, -71,598)",-13.1655779,-71.5979731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S283365537,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2633,3510,female,2
648258418,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Wilder Córdova,2025-12-27,2025,12,27,800,Bolivia,BO-C,Cochabamba,NA,Churo Alto BO-Cochabamba,-17.156391,-65.873255,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S291270460,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4.5,2,NA,1600,2400,female,2
647232920,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Gabriel Leite,2025-11-20,2025,11,20,1526,Bolivia,BO-L,La Paz,NA,Departamento de La Paz--Ruta Nacional 25,-16.3085269,-67.8994688,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S285362647,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3525,5288,male,2
647195126,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Barbara S,2025-09-07,2025,9,7,1047,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S272142460,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,938,950,male,2
647133115,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Arthur Gomes,2025-11-22,2025,11,22,616,Bolivia,BO-L,La Paz,NA,Comunidad Sacramento,-16.2748799,-67.7913171,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S285675991,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4.5,2,NA,3291,4607,male,2
646722855,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Phil Chaon • Your Ad Here,2025-12-10,2025,12,10,1432,Bolivia,BO-L,La Paz,NA,Camino de la Muerte (~1000-9500ft elev),-16.2985529,-67.8157959,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S288088988,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1487,2231,male,2
